sample_id,mbl_group,sample_name,species,tube_id,tissue,genotype,collector,dissector,animal_id,replicate,tube_label,date,time,n_cells,notes
dmnewt01,A,A1,fly,A10,Neurons,control,JZP,,,,A10,180531,19:50,9,"A58, cha (independent of A9)"
dmneco01,B,B1,fly,A12*,Neurons,cora,Katie,,,,A12*,180601,11:10,9,"**cora neurons, should have been 'B' samples"
dmnewt02,C,C1,fly,A14,Neurons,control,Miguel,,,,A14,180601,15:00,13,
dmnewt03,D,D1,fly,A15,Neurons,control,Juan,,,,A15,180601,15:15,10,
dmnewt04,E,E1,fly,A16,Neurons,control,Miguel,,,,A16,180601,15:40,10,
dmnewt05,F,F1,fly,A18,Neurons,control,Katie,,,,A18,180601,15:45,7,"approx cell number; -80 was opened just before this sample was put in -> 5 min elay in getting sample in, sample sat on ice"
dmnewt06,G,G1,fly,A19,Neurons,control,Javier,,,,A19,180601,15:50,10,paired with A17
dmnewt07,H,H1,fly,A20,Neurons,control,Juan,,,,A20,180601,16:00,10,
dmnewt08,A,A2,fly,A21,Neurons,control,Katie,,,,A21,180601,16:10,10,They look awesome!
dmnewt09,B,B2,fly,A22,Neurons,control,Zazil,,,,A22,180601,16:35,7,
dmnewt10,C,C2,fly,A5,Neurons,control,JZP,,,,A5,180531,17:52,10,paired with A4
dmnewt11,D,D2,fly,A9,Neurons,control,JZP,,,,A9,180531,19:50,9,"A58, cha"
dmneco02,E,E2,fly,B11,Neurons,cora,JZP,,,,B11,180601,11:00,10,paired with B10
dmneco03,F,F2,fly,B13,Neurons,cora,Miguel,,,,B13,180601,11:34,9,paired with B12
dmneco04,G,G2,fly,B14,Neurons,cora,Juan,,,,B14,180601,11:34,8,
dmneco05,H,H2,fly,B16,Neurons,cora,Javier,,,,B16,180601,11:56,14,paired with B15
dmneco06,A,A3,fly,B2,Neurons,cora,JZP,,,,B2,180531,18:05,9,"paired with B1; A58, cha"
dmneco07,B,B3,fly,B3,Neurons,cora,JZP,,,,B3,180531,19:35,9,"A58, cha"
dmneco08,C,C3,fly,B4,Neurons,cora,JZP,,,,B4,180531,19:35,9,"A58, cha (independent of B3)"
dmneco09,D,D3,fly,B5,Neurons,cora,Javier,,,,B5,180601,10:38,10,paired with B7
dmneco10,E,E3,fly,B6,Neurons,cora,Juan,,,,B6,180601,10:00,10,
dmneco11,F,F3,fly,B8,Neurons,cora,JZP,,,,B8,180601,11:00,10,paired with B9
dmepco01,G,G3,fly,D1,Epidermis,cora,JZP,,,,D1,180601,1:45,8,
dmepco02,H,H3,fly,D11,Epidermis,cora,JZP,,,,D11,180601,16:45,10,paired with D10
dmepco03,A,A4,fly,D12,Epidermis,cora,JZP,,,,D12,180601,16:45,10,paired with D13
dmepco04,B,B4,fly,D2,Epidermis,cora,JZP,,,,D2,180601,1:45,8,
dmepco05,C,C4,fly,D3,Epidermis,cora,JZP,,,,D3,180601,1:45,8,
dmepco06,D,D4,fly,D6,Epidermis,cora,JZP,,,,D6,180601,16:30,10,paired with D7
dmepco07,E,E4,fly,D7,Epidermis,cora,JZP,,,,D7,180601,16:30,10,paired with D6
dmepco08,F,F4,fly,D8,Epidermis,cora,JZP,,,,D8,180601,16:30,10,paired with D9
dmepco09,G,G4,fly,D9,Epidermis,cora,JZP,,,,D9,180601,16:30,10,paired with D8
dmeppi01,H,H4,fly,F10,Epidermis,PI4K,JZP/Zazil,,,,F10,180602,11:35,8,
dmeppi02,A,A5,fly,F12,Epidermis,PI4K,JZP/Javier,,,,F12,180602,12:30,8,
dmeppi03,B,B5,fly,F2,Epidermis,PI4K,JZP/Javier,,,,F2,180602,10:55,8,paired with F1
dmeppi04,C,C5,fly,F4,Epidermis,PI4K,JZP/Juan,,,,F4,180602,11:15,8,paired with F3
dmeppi05,D,D5,fly,F5,Epidermis,PI4K,JZP/Miguel,,,,F5,180602,11:15,8,
dmeppi06,E,E5,fly,F6,Epidermis,PI4K,JZP/Javier,,,,F6,180602,11:15,8,
dmeppi07,F,F5,fly,F7,Epidermis,PI4K,JZP/Javier,,,,F7,180602,11:15,8,
dmeppi08,G,G5,fly,F8,Epidermis,PI4K,JZP/Katie,,,,F8,180602,11:35,8,
